Brand,Type,Name,Selling_Price,Original_Price,Display,Rating,Strap_Material,avg_battery_life
FOSSIL ,Smartwatch,FB-01 Hybrid HR,14021,16495,AMOLED Display,4,Stainless Steel,14
FOSSIL ,Smartwatch,Commuter,11995,11995,AMOLED Display,4.3,Leather,14
FOSSIL ,Smartwatch,Latitude Hybrid HR,13196,16495,AMOLED Display,4.3,Stainless Steel,14
FOSSIL ,Smartwatch,Sport,17995,17995,AMOLED Display,3.9,Silicone,2
FOSSIL ,Smartwatch,Charter Hybrid HR,13196,16495,AMOLED Display,3.9,Leather,12
FOSSIL ,Smartwatch,Carlie Hybrid,13495,13495,AMOLED Display,4.6,Stainless Steel,12
FOSSIL ,Smartwatch,Carlie,11995,11995,AMOLED Display,4.8,Leather,10
FOSSIL ,Smartwatch,Neutra Hybrid,13495,13495,AMOLED Display,5,Stainless Steel,12
FOSSIL ,Smartwatch,Q Venture,19999,21995,AMOLED Display,3.8,Leather,1
FOSSIL ,Smartwatch,Jacqueline,13495,13495,AMOLED Display,4.6,Leather,1
FOSSIL ,Smartwatch,Q Neely,6995,12995,AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,FTW5018 Hybrid,11596,14495,AMOLED Display,4.5,Stainless Steel,2
FOSSIL ,Smartwatch,FTW5012 Hybrid,9097,12995,AMOLED Display,4.6,Leather,2
FOSSIL ,Smartwatch,Jacqueline Hybrid,10796,13495,AMOLED Display,4,Leather,12
FOSSIL ,Smartwatch,Q Annette,6995,13495,AMOLED Display,4.6,Leather,1
FOSSIL ,Smartwatch,Gen 5 Julianna HR,15995,22995,AMOLED Display,4.3,Stainless Steel,2
FOSSIL ,Smartwatch,FTW6007,19995,19995,AMOLED Display,4.1,Leather,2
FOSSIL ,Smartwatch,Gen 5E,18495,18495,AMOLED Display,3.8,Stainless Steel,1
FOSSIL ,Smartwatch,Neutra Hybrid,11995,11995,AMOLED Display,5,Leather,12
FOSSIL ,Smartwatch,Gen 5 Julianna HR,15995,22995,AMOLED Display,4.3,Stainless Steel,2
FOSSIL ,Smartwatch,FTW1151 Hybrid,8995,11995,AMOLED Display,4.3,Leather,2
FOSSIL ,Smartwatch,Barstow Hybrid,8995,11995,AMOLED Display,4.6,Leather,12
FOSSIL ,Smartwatch,Wander RG,18995,18995,AMOLED Display,4,Silicone,5
FOSSIL ,Smartwatch,Charter Hybrid HR,14021,16495,AMOLED Display,3.9,Leather,12
FOSSIL ,Smartwatch,Q Wander,19995,19995,AMOLED Display,4,Stainless Steel,1
FOSSIL ,Smartwatch,Q Founder,19995,19995,AMOLED Display,4.2,Stainless Steel,1
FOSSIL ,Smartwatch,Garrett Hybrid,6995,11995,AMOLED Display,3.7,Stainless Steel,12
FOSSIL ,Smartwatch,Q Explorist,19995,19995,AMOLED Display,4.4,Leather,2
FOSSIL ,Smartwatch,Marshall,18995,18995,AMOLED Display,4,Stainless Steel,1
FOSSIL ,Smartwatch,Gen 3 Q Venture,15396,21995,AMOLED Display,4.3,Stainless Steel,1
